t,plant,axis,metamer,organ,sucrose,temperature,proteins,amino_acids,day,light,leaf_pseudo_age
54,1,MS,4,hiddenzone,3.6185606,8,5.39604178,0.33659146,3,night,858722.3902
54,1,MS,5,hiddenzone,0.16128442,8,0.22707166,0.01500239,3,night,62644.325
55,1,MS,3,hiddenzone,7.06447826,8,8.86389994,0.65735717,3,day,1673479.939
55,1,MS,4,hiddenzone,3.62817667,8,5.40366739,0.33760831,3,day,860479.939
55,1,MS,5,hiddenzone,0.16258364,8,0.22742662,0.01512875,3,day,64401.87376
56,1,MS,3,hiddenzone,7.04115334,8,8.88024765,0.65817683,3,day,1675174.258
56,1,MS,4,hiddenzone,3.61993431,8,5.41131033,0.33835978,3,day,862174.2583
56,1,MS,5,hiddenzone,0.16306369,8,0.22778529,0.01524187,3,day,66096.19311
57,1,MS,3,hiddenzone,7.00206291,8,8.89660078,0.65876807,3,day,1676831.384
57,1,MS,4,hiddenzone,3.60325274,8,5.41896857,0.3389838,3,day,863831.3839
57,1,MS,5,hiddenzone,0.16315123,8,0.22814755,0.01534891,3,day,67753.31868
58,1,MS,3,hiddenzone,6.95218391,8,8.91295721,0.65922094,3,day,1678465.335
58,1,MS,4,hiddenzone,3.58092448,8,5.42664088,0.33953223,3,day,865465.3349
58,1,MS,5,hiddenzone,0.16297356,8,0.22851335,0.01545275,3,day,69387.26968
59,1,MS,3,hiddenzone,6.89450499,8,8.92931599,0.65958017,3,day,1680092.133
59,1,MS,4,hiddenzone,3.55451761,8,5.4343267,0.34003083,3,day,867092.1333
59,1,MS,5,hiddenzone,0.16260635,8,0.22888271,0.01555528,3,day,71014.06802
60,1,MS,3,hiddenzone,6.83550447,8,8.94567794,0.65997045,3,day,1681715.784
60,1,MS,4,hiddenzone,3.52739199,8,5.44202637,0.34054539,3,day,868715.7844
60,1,MS,5,hiddenzone,0.16220302,8,0.22925567,0.01565968,3,day,72637.7192
61,1,MS,3,hiddenzone,6.77291025,8,8.96204169,0.66027481,3,day,1683323.986
61,1,MS,4,hiddenzone,3.49827897,8,5.44973909,0.34101206,3,day,870323.9859
61,1,MS,5,hiddenzone,0.16169777,8,0.22963222,0.01576239,3,day,74245.92067
62,1,MS,3,hiddenzone,6.71010558,8,8.97840672,0.66054592,3,day,1684907.582
62,1,MS,4,hiddenzone,3.46894113,8,5.45746441,0.34145705,3,day,871907.5823
62,1,MS,5,hiddenzone,0.16116601,8,0.23001233,0.01586409,3,day,75829.51702
63,1,MS,3,hiddenzone,6.64721811,8,8.99477243,0.66080458,3,day,1686461.996
63,1,MS,4,hiddenzone,3.43944105,8,5.46520181,0.34188955,3,day,873461.9958
63,1,MS,5,hiddenzone,0.16060757,8,0.23039597,0.01596491,3,day,77383.93056
64,1,MS,3,hiddenzone,6.58422849,8,9.01113859,0.6610483,3,day,1687992.949
64,1,MS,4,hiddenzone,3.40978043,8,5.47295099,0.34230978,3,day,874992.9487
64,1,MS,5,hiddenzone,0.1600252,8,0.23078312,0.0160651,3,day,78914.88342
65,1,MS,3,hiddenzone,6.52125035,8,9.02750525,0.66128623,3,day,1689508.738
65,1,MS,4,hiddenzone,3.38003737,8,5.48071183,0.34272377,3,day,876508.7379
65,1,MS,5,hiddenzone,0.15942645,8,0.23117379,0.01616536,3,day,80430.67266
66,1,MS,3,hiddenzone,6.45814915,8,9.04387203,0.66150864,3,day,1691009.65
66,1,MS,4,hiddenzone,3.35014133,8,5.48848404,0.34312687,3,day,878009.6496
66,1,MS,5,hiddenzone,0.1588078,8,0.23156798,0.01626543,3,day,81931.5844
67,1,MS,3,hiddenzone,6.39519441,8,9.06023807,0.66172138,3,day,1692489.962
67,1,MS,4,hiddenzone,3.32022641,8,5.49626704,0.34352058,3,day,879489.9617
67,1,MS,5,hiddenzone,0.1581722,8,0.23196565,0.01636504,3,day,83411.89651
68,1,MS,3,hiddenzone,6.33266289,8,9.07660336,0.66191132,3,day,1693945.383
68,1,MS,4,hiddenzone,3.29042554,8,5.50406063,0.3438978,3,day,880945.3826
68,1,MS,5,hiddenzone,0.15752337,8,0.23236678,0.01646357,3,day,84867.3174
69,1,MS,3,hiddenzone,6.27075244,8,9.09296831,0.66209281,3,day,1695375.34
69,1,MS,4,hiddenzone,3.26084621,8,5.51186476,0.34426538,3,day,882375.3401
69,1,MS,5,hiddenzone,0.15686605,8,0.23277137,0.01656127,3,day,86297.27486
70,1,MS,3,hiddenzone,6.2089701,8,9.10933198,0.66225453,3,day,1696790.992
